folder,value,photo_name,photo_name_length
1805532,C:/Users/allan/OneDrive/New_Graph/Current/2021-034-hctf-bulkley-fish-passage/scripts/fish_passage_skeena_2021_reporting/data/photos/1805532/IMG_5266_road .JPG,IMG_5266_road .JPG,18
1805532,C:/Users/allan/OneDrive/New_Graph/Current/2021-034-hctf-bulkley-fish-passage/scripts/fish_passage_skeena_2021_reporting/data/photos/1805532/IMG_5267_upstream .JPG,IMG_5267_upstream .JPG,22
1805532,C:/Users/allan/OneDrive/New_Graph/Current/2021-034-hctf-bulkley-fish-passage/scripts/fish_passage_skeena_2021_reporting/data/photos/1805532/IMG_5268_downstream.JPG,IMG_5268_downstream.JPG,23
1805532,C:/Users/allan/OneDrive/New_Graph/Current/2021-034-hctf-bulkley-fish-passage/scripts/fish_passage_skeena_2021_reporting/data/photos/1805532/IMG_5269_inlet.JPG,IMG_5269_inlet.JPG,18
1805532,C:/Users/allan/OneDrive/New_Graph/Current/2021-034-hctf-bulkley-fish-passage/scripts/fish_passage_skeena_2021_reporting/data/photos/1805532/IMG_5270_outlet.JPG,IMG_5270_outlet.JPG,19
1805532,C:/Users/allan/OneDrive/New_Graph/Current/2021-034-hctf-bulkley-fish-passage/scripts/fish_passage_skeena_2021_reporting/data/photos/1805532/IMG_5271_barrel.JPG,IMG_5271_barrel.JPG,19
1801185,C:/Users/allan/OneDrive/New_Graph/Current/2021-034-hctf-bulkley-fish-passage/scripts/fish_passage_skeena_2021_reporting/data/photos/1801185/IMG_5272_road.JPG,IMG_5272_road.JPG,17
1801185,C:/Users/allan/OneDrive/New_Graph/Current/2021-034-hctf-bulkley-fish-passage/scripts/fish_passage_skeena_2021_reporting/data/photos/1801185/IMG_5273_upstream.JPG,IMG_5273_upstream.JPG,21
1801185,C:/Users/allan/OneDrive/New_Graph/Current/2021-034-hctf-bulkley-fish-passage/scripts/fish_passage_skeena_2021_reporting/data/photos/1801185/IMG_5274_downstream.JPG,IMG_5274_downstream.JPG,23
1801185,C:/Users/allan/OneDrive/New_Graph/Current/2021-034-hctf-bulkley-fish-passage/scripts/fish_passage_skeena_2021_reporting/data/photos/1801185/IMG_5275_inlet.JPG,IMG_5275_inlet.JPG,18
